Scene,Characters,Location,Film
1,"R2-D2,C-3PO,Anakin Skywalker/Darth Vader",Tantive 4,4
2,"Princess Leia,R2-D2,C-3PO,Anakin Skywalker/Darth Vader,Captain Antilles",Tantive 4,4
3,"Princess Leia,Anakin Skywalker/Darth Vader",Tantive 4,4
4,"R2-D2,C-3PO,Anakin Skywalker/Darth Vader",Escape Pod,4
5,"R2-D2,C-3PO,Anakin Skywalker/Darth Vader",Tatooine,4
6,"R2-D2,C-3PO,Luke Skywalker,Beru Owen,Lars Own",Tatooine,4
7,"R2-D2,C-3PO,Luke Skywalker,Beru Owen,Lars Own",Tatooine,4
8,"Luke Skywalker,Owen Lars,Beru Lars",Tatooine,4
9,"C-3PO,Luke Skywalker,Owen Lars,Beru Lars",Tatooine,4
10,"R2-D2,C-3PO,Luke Skywalker",Tatooine,4
11,"R2-D2,C-3PO,Luke Skywalker,Obi-Wan Kenobi",Tatooine,4
12,"R2-D2,C-3PO,Luke Skywalker,Obi-Wan Kenobi",Tatooine,4
13,"R2-D2,C-3PO,Luke Skywalker,Obi-Wan Kenobi",Tatooine,4
14,"Anakin Skywalker/Darth Vader,Grand Moff Tarkin,Admiral Motti,General Tagge",Death Star,4
15,"R2-D2,C-3PO,Luke Skywalker,Obi-Wan Kenobi",Tatooine,4
16,"Anakin Skywalker/Darth Vader,Princess Leia",Death Star,4
17,"R2-D2,C-3PO,Luke Skywalker,Obi-Wan Kenobi",Tatooine,4
18,"R2-D2,C-3PO,Luke Skywalker,Obi-Wan Kenobi",Tatooine,4
19,"R2-D2,C-3PO,Luke Skywalker,Obi-Wan Kenobi,Chewbacca,Cornelius Evazan,Ponda Baba",Tatooine,4
20,"Luke Skywalker,Obi-Wan Kenobi,Han Solo,Chewbacca",Tatooine,4
21,"Han Solo,Greedo",Tatooine,4
22,"Anakin Skywalker/Darth Vader,Grand Moff Tarkin,Admiral Motti,General Tagge",Various,4
,"Luke Skywalker,R2-D2,C-3PO",Tatooine,4
23,"Jabba the Hutt,Han Solo,Chewbacca,Boba Fett",Tatooine,4
24,"R2-D2,C-3PO,Luke Skywalker,Obi-Wan Kenobi,Chewbacca,Han Solo",Millenium Falcon,4
25,"Anakin Skywalker/Darth Vader,Princess Leia,Grand Moff Tarkin",Death Star,4
